Time,Sol,Earth,Jupiter,Mars,Mercury,Neptune,Pluto,Saturn,Uranus,Venus
2439155.5,JPLE DATA NOT AVAILABLE,0.004508564072,0.000143503724,0.002241684948,0.03753246688,0.0005314348714,0.0001921551267,0.0001616933219,0.0001113493519,0.01014953176
2439156.5,JPLE DATA NOT AVAILABLE,0.004710047205,0.0001496998425,0.002327821836,0.04057307578,0.0005480136068,0.0002004027224,0.0001703845443,0.0001111014003,0.01068222386
2439157.5,JPLE DATA NOT AVAILABLE,0.004914776547,0.0001561644562,0.002414652636,0.04383846757,0.000531761309,0.0002541431291,0.0001787979631,0.0001108431205,0.01123331125
2439158.5,JPLE DATA NOT AVAILABLE,0.005122640886,0.0001614122089,0.002502164609,0.04734483487,0.0005901355747,0.0002633744866,0.0001869285766,0.0001105847271,0.01180339337
2439159.5,JPLE DATA NOT AVAILABLE,0.005333320244,0.0001666515267,0.002590339748,0.05110899695,0.0006063444817,0.0002668903454,0.0001947701965,0.0001311135163,0.01239304527
2439160.5,JPLE DATA NOT AVAILABLE,0.005546869806,0.0001715872471,0.002679251747,0.05514899873,0.000623292768,0.00026614615,0.0002023098698,0.0001308409946,0.01300318398
2439161.5,JPLE DATA NOT AVAILABLE,0.005762970717,0.0001770066385,0.002768931059,0.05948308403,0.0006490739616,0.0002666386896,0.0002095304423,0.0001305550624,0.01363440983
2439162.5,JPLE DATA NOT AVAILABLE,0.005981761874,0.0001821456631,0.002859303742,0.06413061321,0.0006649519375,0.0002720790159,0.0002053365826,0.0001302641676,0.01428750185
2439163.5,JPLE DATA NOT AVAILABLE,0.00620334576,0.0001881213863,0.002950554862,0.06911210569,0.0006815167127,0.0002825361751,0.0002118464035,0.0001299816087,0.01496326681
2439164.5,JPLE DATA NOT AVAILABLE,0.006427957088,0.0001937649084,0.003042554516,0.07444773207,0.0006653602063,0.0002935344515,0.0002179833408,0.0001529760014,0.01566253192
2439165.5,JPLE DATA NOT AVAILABLE,0.006655938711,0.0001992130256,0.003135385525,0.08015950217,0.0007237534472,0.0003424593619,0.0002237432307,0.0001526309646,0.01638590976
2439166.5,JPLE DATA NOT AVAILABLE,0.006887702988,0.000204065769,0.003229074096,0.0862690009,0.000740036642,0.0003429190931,0.0002291319519,0.0001522863604,0.01713423917
2439167.5,JPLE DATA NOT AVAILABLE,0.007123717719,0.0002085439763,0.00332365195,0.09279810864,0.0007569191787,0.000342410629,0.0002341630826,0.0001519295209,0.01790838766
2439168.5,JPLE DATA NOT AVAILABLE,0.007364454569,0.0002136396424,0.003419150617,0.09976903124,0.0007827328307,0.0003021220877,0.0002388587332,0.00015156326,0.01870924416
2439169.5,JPLE DATA NOT AVAILABLE,0.007610375791,0.0002185530743,0.003515535825,0.1072030654,0.0007987379268,0.000314660571,0.0002432288083,0.000151174883,0.01953742738
2439170.5,JPLE DATA NOT AVAILABLE,0.007861932517,0.0002245703866,0.003612833933,0.1151219565,0.0008153287173,0.0003682414985,0.0002472901901,0.0001507886627,0.02039415044
2439171.5,JPLE DATA NOT AVAILABLE,0.008119538582,0.0002309491838,0.003711070414,0.1235455136,0.0007992452506,0.000376185459,0.0002510626628,0.0001504031136,0.02127971877
2439172.5,JPLE DATA NOT AVAILABLE,0.00838357818,0.0002364248618,0.003810351892,0.1324920244,0.0008576514365,0.0003782966435,0.0002668891416,0.0001717636516,0.02219503651
2439173.5,JPLE DATA NOT AVAILABLE,0.008654119031,0.0002417073682,0.003910631936,0.1420285736,0.0008739951606,0.0003772669484,0.0002700167298,0.0001941650681,0.02314174912
2439174.5,JPLE DATA NOT AVAILABLE,0.008931901114,0.000246846577,0.004011948499,0.1520676043,0.0008908481291,0.0003787273813,0.0002728690337,0.0001937393172,0.02411976565
2439175.5,JPLE DATA NOT AVAILABLE,0.009216753698,0.0002524711764,0.00411424453,0.1626686517,0.0009166810692,0.0003861520696,0.0002754416308,0.0001933079128,0.02513039943
2439176.5,JPLE DATA NOT AVAILABLE,0.009509054639,0.0002577291672,0.004217633733,0.1738377745,0.0009328085723,0.0004014342944,0.0002901263357,0.0001928591873,0.02617463642
2439177.5,JPLE DATA NOT AVAILABLE,0.009808826748,0.0002640281134,0.004322151065,0.1855743775,0.000949441189,0.0004114186215,0.0002920186001,0.0001923849443,0.02725347998
2439178.5,JPLE DATA NOT AVAILABLE,0.01011659689,0.0002705011865,0.004427738895,0.1978728994,0.0009334043973,0.0004158603081,0.0002936003759,0.0001919126891,0.02836708617
2439179.5,JPLE DATA NOT AVAILABLE,0.01043190934,0.0002760903063,0.004534418033,0.2107216765,0.0009918147583,0.0004153378698,0.0002948595951,0.0001914353917,0.02951729332
2439180.5,JPLE DATA NOT AVAILABLE,0.01075523854,0.0002810831055,0.004660406938,0.2241002394,0.001008219309,0.0004151409387,0.000308121968,0.0001909600996,0.03070469213
2439181.5,JPLE DATA NOT AVAILABLE,0.01108619123,0.0002859714303,0.004769792978,0.2379821533,0.001025078299,0.0004203010624,0.0003085878052,0.0002152327469,0.03192981587
2439182.5,JPLE DATA NOT AVAILABLE,0.01142497367,0.000291035445,0.004880155735,0.2523328085,0.001050926165,0.0004358882752,0.000320168173,0.000214709501,0.03319365467
2439183.5,JPLE DATA NOT AVAILABLE,0.011771549,0.0002964323484,0.00499201668,0.2671100042,0.001067164422,0.0004899386124,0.0003320501426,0.000234213132,0.03449719061
2439184.5,JPLE DATA NOT AVAILABLE,0.01212558656,0.0003022133728,0.005104945831,0.2822661561,0.00108383664,0.0004968102774,0.0003315729683,0.0002337107172,0.03584194785
2439185.5,JPLE DATA NOT AVAILABLE,0.01248695122,0.0003078647201,0.00521922654,0.2977474097,0.001067826147,0.0004981465736,0.0003428756507,0.0002331878534,0.03722789524
2439186.5,JPLE DATA NOT AVAILABLE,0.01285575614,0.0003135331463,0.005334907569,0.3134960606,0.001126245547,0.0004976242668,0.0003417140737,0.0002326525957,0.03865599447
2439187.5,JPLE DATA NOT AVAILABLE,0.01323156409,0.0003185989741,0.005451796828,0.3294524595,0.001142723465,0.0005006712774,0.0003403035873,0.0002321026495,0.04012777403
2439188.5,JPLE DATA NOT AVAILABLE,0.01361418693,0.0003238150862,0.005569925203,0.3455567556,0.00115961305,0.0005096882039,0.0003506545333,0.0002315526852,0.04164424159
2439189.5,JPLE DATA NOT AVAILABLE,0.01400346534,0.0003298435762,0.005689345027,0.3617493475,0.001143445803,0.0005256123165,0.0003608425365,0.0002309873718,0.04320520485
2439190.5,JPLE DATA NOT AVAILABLE,0.01439961062,0.0003351467673,0.005810353545,0.3779744437,0.001201793413,0.0005348727363,0.0003584241661,0.000254463871,0.04481218536
2439191.5,JPLE DATA NOT AVAILABLE,0.01480264209,0.0003414311585,0.005932748736,0.394180741,0.001218502621,0.0005384103716,0.0003680436118,0.0002538630696,0.04646551495
2439192.5,JPLE DATA NOT AVAILABLE,0.01521234881,0.000347662819,0.00605657215,0.4103211474,0.001202516036,0.000538092884,0.0003649967434,0.0002532497482,0.04816671634
2439193.5,JPLE DATA NOT AVAILABLE,0.01562930517,0.0003538741619,0.006181602153,0.4263557869,0.001260958561,0.0005394369012,0.0003852441634,0.0002526292675,0.04991674185
2439194.5,JPLE DATA NOT AVAILABLE,0.01605422905,0.0003591988975,0.006308148243,0.44225091,0.001277517733,0.0005509102485,0.0003817062354,0.0002728386606,0.05171582018
2439195.5,JPLE DATA NOT AVAILABLE,0.0164868413,0.00036511711,0.006436264474,0.4579778172,0.001294444352,0.0005620802063,0.0003898226737,0.0002722330033,0.05356484094
